Source,Target,Weight
스킬,공용,0.042119520476569625
스킬,사용,0.03882159975184408
스킬,가공,0.03860145441433312
스킬,원형,0.038449760957368295
나무,공용,0.04132968591237292
나무,사용,0.03803176518764738
나무,가공,0.037811619850136424
나무,원형,0.03765992639317159
공용,사용,0.037549712703434476
공용,가공,0.037329567365923515
공용,원형,0.037177873908958686
사용,가공,0.03403164664119797
사용,원형,0.03387995318423315
가공,원형,0.033659807846722185
안전,난간,0.15834860863026326
안전,보호,0.15019510832770466
안전,의식,0.14960996906938887
안전,설치,0.14641960337025475
안전,준수,0.14499496828424666
안전,부족,0.14100197024631536
안전,미착,0.13865885947432005
안전,시설,0.13820512485994882
안전,추락,0.13668300041154885
난간,보호,0.07720207214923554
난간,의식,0.07661693289091974
난간,설치,0.07342656719178564
난간,준수,0.07200193210577753
난간,부족,0.06800893406784625
난간,미착,0.06566582329585094
난간,시설,0.0652120886814797
난간,추락,0.06368996423307972
보호,의식,0.06846343258836114
보호,설치,0.06527306688922704
보호,준수,0.06384843180321893
보호,부족,0.05985543376528765
보호,미착,0.05751232299329234
보호,시설,0.057058588378921096
보호,추락,0.05553646393052113
의식,설치,0.06468792763091125
의식,준수,0.06326329254490314
의식,부족,0.059270294506971855
의식,미착,0.056927183734976544
의식,시설,0.0564734491206053
의식,추락,0.05495132467220533
설치,준수,0.060072926845769044
설치,부족,0.056079928807837756
설치,미착,0.05373681803584245
설치,시설,0.0532830834214712
설치,추락,0.05176095897307123
준수,부족,0.054655293721829645
준수,미착,0.05231218294983434
준수,시설,0.05185844833546309
준수,추락,0.05033632388706312
부족,미착,0.048319184911903054
부족,시설,0.04786545029753181
부족,추락,0.04634332584913184
미착,시설,0.0455223395255365
미착,추락,0.04400021507713653
시설,추락,0.04354648046276528
운전,차량,0.10282572226724748
운전,트리,0.0902967916404856
운전,아웃,0.08948693368494115
운전,지게차,0.08393475255813834
운전,추락사고,0.0821715905731926
운전,크레인,0.08122805103194955
운전,트럭,0.07911062694782338
운전,적재,0.07902145817197419
운전,주차장,0.07645951137840543
차량,트리,0.08930128504252077
차량,아웃,0.08849142708697634
차량,지게차,0.08293924596017353
차량,추락사고,0.08117608397522777
차량,크레인,0.08023254443398474
차량,트럭,0.07811512034985856
차량,적재,0.07802595157400938
차량,주차장,0.0754640047804406
트리,아웃,0.07596249646021444
트리,지게차,0.07041031533341163
트리,추락사고,0.06864715334846588
트리,크레인,0.06770361380722284
트리,트럭,0.06558618972309667
트리,적재,0.06549702094724748
트리,주차장,0.06293507415367872
아웃,지게차,0.0696004573778672
아웃,추락사고,0.06783729539292144
아웃,크레인,0.06689375585167841
아웃,트럭,0.06477633176755222
아웃,적재,0.06468716299170305
아웃,주차장,0.06212521619813428
지게차,추락사고,0.06228511426611863
지게차,크레인,0.0613415747248756
지게차,트럭,0.059224150640749415
지게차,적재,0.05913498186490023
지게차,주차장,0.05657303507133147
추락사고,크레인,0.05957841273992984
추락사고,트럭,0.05746098865580365
추락사고,적재,0.05737181987995447
추락사고,주차장,0.054809873086385706
크레인,트럭,0.05651744911456062
크레인,적재,0.05642828033871144
크레인,주차장,0.053866333545142676
트럭,적재,0.05431085625458526
트럭,주차장,0.0517489094610165
적재,주차장,0.05165974068516731
포트,펌프,0.2450507464923641
포트,레미콘,0.16420155143597792
포트,차량,0.16090998535957918
포트,고정,0.15751755376099974
포트,호퍼,0.15367473535525045
포트,호스,0.15129710343717295
포트,후진,0.1478476636444864
포트,슈트,0.1468020996434164
